

2012.05.02 ― 05.04	6828.51	6912.90	27314	26350	8440.03	8336.84	479.29	436.79	数据明细
2012.04.23 ― 04.27	6825.81	6909.61	57996	55181	8437.54	8334.41	617.48	571.88	数据明细



2012.04.16 ― 04.20	6820.11	6904.16	47753	45818	8432.21	8329.26	542.48	517.87	数据明细
2012.04.09 ― 04.13	6815.41	6899.65	42680	40756	8427.87	8325.03	479.37	467.31	数据明细
2012.04.05 ― 04.06	6811.25	6895.69	18762	17916	8424.03	8321.32	264.47	258.41	数据明细
2012.03.26 ― 03.30	6809.42	6893.93	132683	111829	8422.34	8319.67	493.36	480.50	数据明细
2012.03.19 ― 03.23	6796.20	6882.75	120626	104400	8409.64	8308.92	576.47	548.30	数据明细
2012.03.12 ― 03.16	6784.18	6872.29	121502	105024	8398.15	8298.90	703.26	659.91	数据明细
2012.03.05 ― 03.09	6772.21	6861.75	107198	93479	8386.93	8288.83	638.64	589.45	数据明细
2012.02.27 ― 03.02	6761.50	6852.39	125673	111772	8376.77	8279.91	655.22	606.29	数据明细
2012.02.20 ― 02.24	6748.94	6841.17	116711	103716	8364.85	8269.22	616.56	578.89	数据明细
2012.02.13 ― 02.17	6737.29	6830.77	99270	88478	8353.80	8259.32	520.27	506.36	数据明细
2012.02.06 ― 02.10	6727.45	6821.89	82833	75216	8344.48	8250.85	488.73	458.94	数据明细
2012.01.30 ― 02.03	6719.15	6814.35	64170	60242	8336.65	8243.69	383.23	356.43	数据明细
2012.01.16 ― 01.20	6712.53	6808.23	51146	48357	8330.66	8237.99	415.73	378.66	数据明细
2012.01.09 ― 01.13	6708.77	6802.94	58767	55694	8328.74	8233.43	451.49	422.40	数据明细
2012.01.04 ― 01.06	6702.12	7056.57	24824	23751	8323.26	8228.13	240.36	243.14	数据明细
2011.12.26 ― 12.30	6996.11	7054.26	84846	78208	8320.98	8225.92	313.37	317.49	数据明细
2011.12.19 ― 12.23	6987.76	7046.56	89440	82739	8312.95	8218.47	356.47	352.70	数据明细
2011.12.12 ― 12.16	6978.94	7038.48	82706	76019	8304.47	8210.70	403.56	357.92	数据明细
2011.12.05 ― 12.09	6970.82	7031.03	72191	67088	8296.67	8203.50	366.00	351.94	数据明细
